Player,surface,AvgFirstServe,AvgSecondServe,FirstServeIn,L,LoseRatio,MatchCount,RatioPtsLess4,ServeFirstServePointsWon,ServeSecondServePointsWon,Total,W,WinRatio
Joao Sousa,All,179.6,145,64.2,121,0.274376417,26,69.6,69.8,49.8,441,320,72.6
Kyle Edmund,All,184.4,148.8,58.8,86,0.202352941,26,76.2,73.7,56.2,425,339,79.8
Mikhail Kukushkin,All,174.5,137.5,63.7,132,0.285097192,26,70.8,67.6,53,463,331,71.5
Santiago Giraldo,All,181.9,149.1,62.7,128,0.280087527,26,62.6,69.3,50.2,457,329,72
Tommy Haas,All,171.6,152.8,63.6,96,0.21719457,26,69.9,71.1,63.7,442,346,78.3
Florian Mayer,All,183.4,139.9,62.8,106,0.257907543,27,73.2,68.3,52.3,411,305,74.2
Juan Monaco,All,166.3,144.5,73.1,130,0.280172414,27,69.5,61.6,56.4,464,334,72
Paolo Lorenzi,All,184.5,141.5,58.5,120,0.252631579,27,71.7,72.2,54.4,475,355,74.7
Sergiy Stakhovsky,All,183.4,155.5,62.1,119,0.255913978,28,68.5,71.9,55.3,465,346,74.4
Albert Ramos,All,170.6,141.7,63.2,119,0.231968811,29,69.9,68.7,60.4,513,394,76.8
Ryan Harrison,All,193.5,164.8,55.9,133,0.258252427,29,71.2,73.1,53.1,515,382,74.2
Gilles Muller,All,183.6,157.2,61.3,87,0.142389525,31,75.7,80.7,57.7,611,524,85.8
Ivo Karlovic,All,201.4,185.1,66.8,62,0.093233083,32,76.7,82.2,63,665,603,90.7
Lleyton Hewitt,All,164.2,134,54.2,160,0.247295209,32,72.8,69.1,55.6,647,487,75.3
Lucas Pouille,All,187.2,154,56.2,133,0.215909091,32,71.1,72.6,56.3,616,483,78.4
Robin Haase,All,184.8,152.9,60.5,146,0.257042254,32,71.7,70.8,51.9,568,422,74.3
Leonardo Mayer,All,191.9,167.6,61.5,126,0.219895288,33,69.9,72.2,59,573,447,78
Marcel Granollers,All,189.5,146.6,63.2,154,0.268292683,34,67.5,69.2,56,574,420,73.2
Ernests Gulbis,All,201.7,168.9,59.2,115,0.185783522,35,70.9,76.1,61,619,504,81.4
Guillermo Garcia Lopez,All,180.4,140.5,54.7,148,0.239095315,35,63.9,72.2,55.2,619,471,76.1
Jerzy Janowicz,All,194.1,158.1,61,123,0.1816839,35,70.7,73.8,58.5,677,554,81.8
Tommy Robredo,All,170,147.1,66.5,114,0.180094787,35,77,73.6,61.5,633,519,82
Alexandr Dolgopolov,All,184.6,151.6,58.4,135,0.205167173,36,72.9,74.3,57.8,658,523,79.5
Denis Istomin,All,183.5,144.5,65.5,151,0.229832572,36,73.7,70.3,55.8,657,506,77
Donald Young,All,171,141.6,62.2,193,0.304897314,36,66.9,67.3,54.1,633,440,69.5
Nicolas Mahut,All,184.7,148.2,60.5,153,0.254152824,36,67.7,69.9,52.8,602,449,74.6
Julien Benneteau,All,185.6,152.3,61.7,159,0.225212465,37,70.9,71.2,57.8,706,547,77.5
Steve Johnson,All,187.1,156.2,59.9,130,0.183098592,37,73.5,73.7,57,710,580,81.7
Janko Tipsarevic,All,184.2,145.4,52.9,124,0.185351271,39,71.2,64.6,51.5,669,545,81.5
Adrian Mannarino,All,173.7,138.9,63,187,0.27994012,40,70,68.4,56.2,668,481,72
Mikhail Youzhny,All,172.6,150.4,62.8,170,0.229419703,42,69.7,65.3,52.7,741,571,77.1
Jack Sock,All,185.9,161.9,58.4,144,0.18556701,44,73.6,74.9,61.6,776,632,81.4
Roberto Bautista Agut,All,171.4,145.4,67.4,165,0.222371968,44,72.6,68.8,56.2,742,577,77.8
Viktor Troicki,All,186.7,146.4,61.2,169,0.216389245,44,70.3,71.8,54.9,781,612,78.4
Benoit Paire,All,185.3,147.6,53.4,230,0.264367816,47,66.6,72.5,55.5,870,640,73.6
Andreas Seppi,All,183.2,145.8,57.3,192,0.210065646,48,71.1,75.3,56.1,914,722,79
Jeremy Chardy,All,191.7,158.7,63,187,0.21871345,49,71.5,74.2,55.3,855,668,78.1
Nicolas Almagro,All,189.1,153.5,57.2,149,0.168361582,49,75.1,69.5,55.7,885,736,83.2
Nick Kyrgios,All,196.1,163.9,66.1,139,0.149946063,50,79.2,75.2,61.5,927,788,85
Dominic Thiem,All,184.2,154.4,58.4,153,0.169060773,51,74.1,75.2,59.3,905,752,83.1
Fabio Fognini,All,171.7,138.4,58.4,235,0.26082131,51,67.4,70.3,58.6,901,666,73.9
Marcos Baghdatis,All,183.7,142.5,52.3,191,0.213646532,51,76.5,74.5,55.6,894,703,78.6
David Goffin,All,176.7,143.6,56.4,193,0.213024283,54,78.1,74.5,59.4,906,713,78.7
Philipp Kohlschreiber,All,177.6,148.8,60.9,151,0.161670236,55,74.5,73.8,60.2,934,783,83.8
Feliciano Lopez,All,195.3,163.9,57.9,204,0.191729323,59,71.6,75.7,56.5,1064,860,80.8
Fernando Verdasco,All,177.8,147.2,65.3,216,0.185886403,60,73.1,71.4,58.7,1162,946,81.4
Sam Querrey,All,197.4,153.1,59.5,168,0.142011834,61,77.7,80.9,57.4,1183,1015,85.8
Bernard Tomic,All,178.8,145.9,67,203,0.176368375,62,75.8,73.4,53.2,1151,948,82.4
Grigor Dimitrov,All,192.1,152.8,62.8,190,0.170403587,64,74.9,77.7,59.4,1115,925,83
Juan Martin Del Potro,All,192.6,156,64.5,175,0.139109698,73,81,78.3,58.9,1258,1083,86.1
Gilles Simon,All,170.9,135.1,58,301,0.220351391,74,74.6,71.7,59,1366,1065,78
Kevin Anderson,All,198.4,169.4,64.9,190,0.132774284,75,78.9,79.3,59.9,1431,1241,86.7
Gael Monfils,All,184.9,155.2,64,267,0.18895966,77,75.9,74.3,59.7,1413,1146,81.1
John Isner,All,201.2,175.1,70.2,133,0.0774156,81,80.4,82,63.4,1718,1585,92.3
Marin Cilic,All,192,151.2,57.9,235,0.145781638,91,76.2,80.8,57.9,1612,1377,85.4
Kei Nishikori,All,175.1,141.1,60.9,300,0.189513582,92,71.9,73,60.7,1583,1283,81
Milos Raonic,All,200,170,64.8,166,0.096793003,93,79,81.7,65.5,1715,1549,90.3
Richard Gasquet,All,175.6,147.6,61.4,247,0.160807292,93,75.5,74.1,57.9,1536,1289,83.9
Jo Wilfried Tsonga,All,189.5,146.1,62.4,219,0.121666667,103,77.8,80.2,58.7,1800,1581,87.8
Tomas Berdych,All,193.7,156.9,58.8,237,0.131447587,108,78.3,79.1,58.5,1803,1566,86.9
David Ferrer,All,177.4,151.6,62.9,347,0.191712707,109,74.2,70.9,59.2,1810,1463,80.8
Stanislas Wawrinka,All,188.6,153.5,57.9,292,0.139379475,113,77.2,76.6,61.6,2095,1803,86.1
Rafael Nadal,All,178.6,147.9,67.5,284,0.134215501,132,79.5,73.8,64.9,2116,1832,86.6
Roger Federer,All,186.2,156.9,64.6,249,0.100403226,148,81.4,80.9,63.2,2480,2231,90
Andy Murray,All,182.4,138.4,60.6,427,0.162110858,154,78.1,75.8,58.2,2634,2207,83.8
Novak Djokovic,All,183.4,150,66.6,358,0.122644741,181,79.9,75.7,63.8,2919,2561,87.7
Lleyton Hewitt,Clay,163.2,129.1,51.8,23,0.37704918,3,73.1,65.5,53.2,61,38,62.3
Florian Mayer,Clay,184.3,151.6,59.7,23,0.396551724,4,63.2,57.3,44.3,58,35,60.3
Gilles Muller,Clay,185.6,151.4,57.8,21,0.2625,4,65.5,73.4,52.6,80,59,73.8
Paolo Lorenzi,Clay,184.3,151.6,61.6,16,0.219178082,4,89.8,73.8,53.8,73,57,78.1
Ryan Harrison,Clay,184.3,151.6,49.5,25,0.304878049,4,72.1,64.4,52.5,82,57,69.5
Alexandr Dolgopolov,Clay,184.3,151.6,59.9,14,0.145833333,6,76.5,76.8,51.9,96,82,85.4
Donald Young,Clay,172.7,138.5,61.3,31,0.274336283,6,59.4,66.6,57.2,113,82,72.6
Jerzy Janowicz,Clay,193.8,165.6,61.8,22,0.2,6,61.6,74,56.7,110,88,80
Joao Sousa,Clay,178.7,145.7,59.6,28,0.345679012,6,61,68.3,42.9,81,53,65.4
Kyle Edmund,Clay,184.4,143.7,58.9,19,0.162393162,6,75.3,75.4,57.6,117,98,83.8
Mikhail Kukushkin,Clay,167.8,130,69.4,29,0.278846154,6,73.6,64,53.6,104,75,72.1
Santiago Giraldo,Clay,184.3,151.6,60.1,31,0.306930693,6,56,66.3,44.1,101,70,69.3
Sergiy Stakhovsky,Clay,181.6,151.2,63,35,0.315315315,7,69,66.1,52,111,76,68.5
Steve Johnson,Clay,187.3,155.5,57.4,30,0.211267606,7,73.1,69.9,53.8,142,112,78.9
Tommy Haas,Clay,184.3,151.6,66.7,20,0.196078431,7,73.1,91.7,83.3,102,82,80.4
Adrian Mannarino,Clay,176,134.1,62.1,43,0.3359375,8,63.2,63.5,54.6,128,85,66.4
Bernard Tomic,Clay,175.3,143.4,63.5,33,0.246268657,8,71.4,67.5,51.4,134,101,75.4
Ivo Karlovic,Clay,201.8,186.3,63.8,14,0.097902098,8,77.8,81.5,57.7,143,129,90.2
Robin Haase,Clay,187.5,152.9,62.2,25,0.208333333,8,75.1,69.3,55,120,95,79.2
Denis Istomin,Clay,182.3,152.9,63.3,44,0.333333333,9,69.7,65.5,57.6,132,88,66.7
Juan Monaco,Clay,160.1,139.1,74.6,43,0.279220779,9,63.9,56.4,53.7,154,111,72.1
Julien Benneteau,Clay,189,150.7,61.7,36,0.197802198,9,75,72.2,57.9,182,146,80.2
Lucas Pouille,Clay,187.2,159.9,55.9,44,0.287581699,9,67.5,66.7,51.6,153,109,71.2
Marcos Baghdatis,Clay,180.5,129.5,48.7,32,0.196319018,9,78.4,73.2,54.8,163,131,80.4
Nick Kyrgios,Clay,191.8,153.6,68.1,30,0.222222222,9,79.6,71.2,60.6,135,105,77.8
Tommy Robredo,Clay,169,147.7,66.7,37,0.210227273,9,77.7,72.4,66.4,176,139,79
Grigor Dimitrov,Clay,187.4,157.6,59.2,37,0.228395062,10,72.7,76.3,56.1,162,125,77.2
Janko Tipsarevic,Clay,184.3,151.6,49.5,34,0.207317073,10,72.1,64.3,51.1,164,130,79.3
Juan Martin Del Potro,Clay,184.3,151.6,65.7,33,0.194117647,10,73.8,75.1,55.3,170,137,80.6
Leonardo Mayer,Clay,184.3,151.6,60.4,45,0.25862069,10,69.7,69.2,57.7,174,129,74.1
Mikhail Youzhny,Clay,173.4,149,65,44,0.287581699,10,65.9,61.4,37.9,153,109,71.2
Nicolas Mahut,Clay,185.6,147.7,59.5,51,0.286516854,10,63.7,66.1,47.5,178,127,71.3
Roberto Bautista Agut,Clay,171.6,148.7,66.6,41,0.266233766,10,68.4,65.6,56.1,154,113,73.4
Albert Ramos,Clay,170.6,141.7,63.6,48,0.255319149,11,71.9,66.8,58.2,188,140,74.5
Andreas Seppi,Clay,183.9,144.3,54.9,53,0.269035533,11,63.7,67.6,57.1,197,144,73.1
Feliciano Lopez,Clay,187.8,156.2,62.2,47,0.271676301,11,71.2,70.4,49.1,173,126,72.8
Jack Sock,Clay,186.9,159.1,53.4,42,0.22826087,11,67.2,73.7,56.4,184,142,77.2
Sam Querrey,Clay,201.3,152.5,58.8,40,0.210526316,11,69.1,75.3,46.6,190,150,78.9
Marcel Granollers,Clay,187.3,145.4,65.3,55,0.273631841,12,67.5,70.6,54.7,201,146,72.6
Philipp Kohlschreiber,Clay,172.1,147,59.4,44,0.201834862,12,72.4,74.1,59.8,218,174,79.8
Benoit Paire,Clay,183.8,144.5,48.7,77,0.327659574,13,63,66.9,54.1,235,158,67.2
Ernests Gulbis,Clay,204,168.2,57.1,45,0.218446602,13,62.2,74.4,62.8,206,161,78.2
Guillermo Garcia Lopez,Clay,180.5,140.3,52.2,63,0.276315789,13,67,68.6,54.6,228,165,72.4
Viktor Troicki,Clay,185.2,134.7,58.8,55,0.21484375,14,72,73.4,48.3,256,201,78.5
David Goffin,Clay,178.6,144.7,56.6,59,0.218518519,16,81.6,74.5,60.8,270,211,78.1
Dominic Thiem,Clay,179,156.5,56.5,50,0.190839695,16,71,74,59.8,262,212,80.9
Fabio Fognini,Clay,169,141.5,60.7,67,0.246323529,16,66.9,65.8,57.5,272,205,75.4
Jeremy Chardy,Clay,191.3,154.1,64.6,57,0.221789883,16,73.3,73,55.5,257,200,77.8
Kevin Anderson,Clay,196.4,169,63.7,41,0.151851852,16,71.1,75,55.4,270,229,84.8
Nicolas Almagro,Clay,185.9,154,59.1,48,0.179104478,16,75.1,67.1,53.6,268,220,82.1
Fernando Verdasco,Clay,168.9,142,72.6,62,0.19375,17,72.2,67.4,64.9,320,258,80.6
Milos Raonic,Clay,199.2,166.7,64,40,0.139372822,17,76.9,79.7,59.7,287,247,86.1
John Isner,Clay,197.7,172.4,68,42,0.105527638,18,78.1,77.5,58.8,398,356,89.4
Gael Monfils,Clay,183,153.5,67.9,79,0.215846995,19,76.1,69.9,56.5,366,287,78.4
Marin Cilic,Clay,194.8,149.1,56.6,48,0.177121771,19,75.4,77.9,57.9,271,223,82.3
Kei Nishikori,Clay,178.3,142,58.8,84,0.252252252,20,69.2,72.4,53.9,333,249,74.8
Tomas Berdych,Clay,193.9,158.6,58.1,57,0.151595745,21,73.3,76.3,58,376,319,84.8
Gilles Simon,Clay,164.7,134.9,53.7,104,0.261964736,22,71.7,68.1,56.3,397,293,73.8
Richard Gasquet,Clay,175.5,147.7,60.7,69,0.161592506,26,75.2,71.5,55.8,427,358,83.8
Jo Wilfried Tsonga,Clay,185.7,145.2,64.4,74,0.16481069,27,75.2,76.3,54,449,375,83.5
Roger Federer,Clay,184.3,151.6,65.6,64,0.139433551,27,78.8,76.5,65.9,459,395,86.1
David Ferrer,Clay,178.3,153.8,62.3,93,0.19787234,30,77,72.9,59.3,470,377,80.2
Stanislas Wawrinka,Clay,186.7,151,57.2,78,0.131313131,32,76.1,73.1,63.5,594,516,86.9
Andy Murray,Clay,182.3,138.3,59.2,133,0.210443038,35,75.4,72.9,56.7,632,499,79
Rafael Nadal,Clay,173.7,139.8,66.7,80,0.13536379,41,80,72.6,68.1,591,511,86.5
